AGB,Sigma0HH,Sigma0HV,Sigma0VV,gamma,theta
547.3,0.37619301599798205,0.22545005960475104,0.24998535397544405,0.2608053674158299,-0.444945196228404
290.4,0.20895575293189517,0.07887865471019133,0.18261978280503263,0.18258428616433633,1.3955268992500576
348.6,0.004825964137588491,0.0015626169492552304,0.002606863227833304,0.3732801021487194,0.5434021648130631
375.1,0.2871977843500151,0.1543260368012938,0.16296618545991537,0.09404974663587166,-0.4510470163901633
349.7,0.30140814805140703,0.1382358340054998,0.20153267369107836,0.3992325540766782,-0.44879853561531174
317.9,0.2208479506950365,0.11657000039750337,0.1605228253827449,0.43363267865809396,0.017164436986409442
