AGB,Sigma0HH,Sigma0HV,Sigma0VV,gamma,theta
290.9,0.1257995907217088,0.07121987423278082,0.13379968812993742,0.1410668535479237,-0.07581445413159223
459.0,0.252439781223617,0.14641494025067625,0.20855330164902697,0.39918621481262573,0.8517771745463842
171.8,0.0630864112973326,0.04445076939657789,0.0737478451781459,0.22189472155111348,0.11292433541920043
333.6,0.20987159663288807,0.10794377721960063,0.170535629728503,0.34412971041823476,0.4151999780831794
247.0,0.20052628557436086,0.09759057252808116,0.16450561562775606,0.1457569035544843,-0.04340149947070604
327.7,0.07391295325758511,0.05963461245887217,0.09596731296434395,0.29048405307501146,-0.3722165823140989
309.4,0.055942282169320665,0.051516016057711105,0.04888782764335649,0.1613127277332322,-0.13992035502191277
